movieId,title,genres,clean_title
264,"Enfer, L' (1994)",Drama,Enfer L
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,Like Water for Chocolate
266,Legends of the Fall (1994),Drama|Romance|War|Western,Legends of the Fall
267,Major Payne (1995),Comedy,Major Payne
268,Little Odessa (1994),Crime|Drama,Little Odessa
269,My Crazy Life (Mi vida loca) (1993),Drama,My Crazy Life
270,Love Affair (1994),Drama|Romance,Love Affair
271,Losing Isaiah (1995),Drama,Losing Isaiah
272,"Madness of King George, The (1994)",Comedy|Drama,Madness of King George The
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,Mary Shelleys Frankenstein
274,Man of the House (1995),Comedy,Man of the House
275,Mixed Nuts (1994),Comedy,Mixed Nuts
276,Milk Money (1994),Comedy|Romance,Milk Money
277,Miracle on 34th Street (1994),Drama,Miracle on 34th Street
278,Miami Rhapsody (1995),Comedy,Miami Rhapsody
279,My Family (1995),Drama,My Family
280,Murder in the First (1995),Drama|Thriller,Murder in the First
281,Nobody's Fool (1994),Comedy|Drama|Romance,Nobodys Fool
282,Nell (1994),Drama,Nell
283,New Jersey Drive (1995),Crime|Drama,New Jersey Drive
284,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime,New York Cop
285,Beyond Bedlam (1993),Drama|Horror,Beyond Bedlam
286,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller,Nemesis 2 Nebula
287,Nina Takes a Lover (1994),Comedy|Romance,Nina Takes a Lover
288,Natural Born Killers (1994),Action|Crime|Thriller,Natural Born Killers
289,Only You (1994),Comedy|Romance,Only You
290,Once Were Warriors (1994),Crime|Drama,Once Were Warriors
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,Outbreak
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,Lon The Professional
294,"Perez Family, The (1995)",Comedy|Romance,Perez Family The
295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,Pyromaniacs Love Story A
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,Pulp Fiction
297,Panther (1995),Drama,Panther
298,Pushing Hands (Tui shou) (1992),Drama,Pushing Hands
299,Priest (1994),Drama,Priest
300,Quiz Show (1994),Drama,Quiz Show
301,Picture Bride (Bijo photo) (1994),Drama|Romance,Picture Bride
302,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance,Queen Margot
303,"Quick and the Dead, The (1995)",Action|Thriller|Western,Quick and the Dead The
304,Roommates (1995),Comedy|Drama,Roommates
305,Ready to Wear (Pret-A-Porter) (1994),Comedy,Ready to Wear
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,Three Colors Red
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,Three Colors Blue
308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama,Three Colors White
309,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",Drama,Red Firecracker Green Firecracker
310,Rent-a-Kid (1995),Comedy,RentaKid
311,Relative Fear (1994),Horror|Thriller,Relative Fear
312,Stuart Saves His Family (1995),Comedy,Stuart Saves His Family
313,"Swan Princess, The (1994)",Animation|Children,Swan Princess The
314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery,Secret of Roan Inish The
315,"Specialist, The (1994)",Action|Drama|Thriller,Specialist The
316,Stargate (1994),Action|Adventure|Sci-Fi,Stargate
317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy,Santa Clause The
318,"Shawshank Redemption, The (1994)",Crime|Drama,Shawshank Redemption The
319,Shallow Grave (1994),Comedy|Drama|Thriller,Shallow Grave
320,Suture (1993),Film-Noir|Thriller,Suture
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,Strawberry and Chocolate
322,Swimming with Sharks (1995),Comedy|Drama,Swimming with Sharks
324,"Sum of Us, The (1994)",Comedy|Drama,Sum of Us The
325,National Lampoon's Senior Trip (1995),Comedy,National Lampoons Senior Trip
326,To Live (Huozhe) (1994),Drama,To Live
327,Tank Girl (1995),Action|Comedy|Sci-Fi,Tank Girl
328,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller,Tales from the Crypt Presents Demon Knight
329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,Star Trek Generations
330,Tales from the Hood (1995),Action|Crime|Horror,Tales from the Hood
331,Tom & Viv (1994),Drama,Tom  Viv
332,Village of the Damned (1995),Horror|Sci-Fi,Village of the Damned
333,Tommy Boy (1995),Comedy,Tommy Boy
334,Vanya on 42nd Street (1994),Drama,Vanya on 42nd Street
335,Underneath (1995),Mystery|Thriller,Underneath
336,"Walking Dead, The (1995)",Drama|War,Walking Dead The
337,What's Eating Gilbert Grape (1993),Drama,Whats Eating Gilbert Grape
338,Virtuosity (1995),Action|Sci-Fi|Thriller,Virtuosity
339,While You Were Sleeping (1995),Comedy|Romance,While You Were Sleeping
340,"War, The (1994)",Adventure|Drama|War,War The
341,Double Happiness (1994),Drama,Double Happiness
342,Muriel's Wedding (1994),Comedy,Muriels Wedding
343,"Baby-Sitters Club, The (1995)",Children,BabySitters Club The
344,Ace Ventura: Pet Detective (1994),Comedy,Ace Ventura Pet Detective
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,Adventures of Priscilla Queen of the Desert The
346,Backbeat (1993),Drama|Musical,Backbeat
347,Bitter Moon (1992),Drama|Film-Noir|Romance,Bitter Moon
348,Bullets Over Broadway (1994),Comedy,Bullets Over Broadway
349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,Clear and Present Danger
350,"Client, The (1994)",Drama|Mystery|Thriller,Client The
351,"Corrina, Corrina (1994)",Comedy|Drama|Romance,Corrina Corrina
352,Crooklyn (1994),Comedy|Drama,Crooklyn
353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller,Crow The
354,Cobb (1994),Drama,Cobb
355,"Flintstones, The (1994)",Children|Comedy|Fantasy,Flintstones The
356,Forrest Gump (1994),Comedy|Drama|Romance|War,Forrest Gump
357,Four Weddings and a Funeral (1994),Comedy|Romance,Four Weddings and a Funeral
358,Higher Learning (1995),Drama,Higher Learning
359,I Like It Like That (1994),Comedy|Drama|Romance,I Like It Like That
360,I Love Trouble (1994),Action|Comedy,I Love Trouble
361,It Could Happen to You (1994),Comedy|Drama|Romance,It Could Happen to You
362,"Jungle Book, The (1994)",Adventure|Children|Romance,Jungle Book The
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary,Wonderful Horrible Life of Leni Riefenstahl The
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,Lion King The
365,Little Buddha (1993),Drama,Little Buddha
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller,Wes Cravens New Nightmare
367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,Mask The
368,Maverick (1994),Adventure|Comedy|Western,Maverick
369,Mrs. Parker and the Vicious Circle (1994),Drama,Mrs Parker and the Vicious Circle
370,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy,Naked Gun 33 13 The Final Insult
371,"Paper, The (1994)",Comedy|Drama,Paper The
372,Reality Bites (1994),Comedy|Drama|Romance,Reality Bites
373,Red Rock West (1992),Thriller,Red Rock West
374,Richie Rich (1994),Children|Comedy,Richie Rich
375,Safe Passage (1994),Drama,Safe Passage
376,"River Wild, The (1994)",Action|Thriller,River Wild The
377,Speed (1994),Action|Romance|Thriller,Speed
378,Speechless (1994),Comedy|Romance,Speechless
379,Timecop (1994),Action|Sci-Fi|Thriller,Timecop
380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,True Lies
381,When a Man Loves a Woman (1994),Drama|Romance,When a Man Loves a Woman
382,Wolf (1994),Drama|Horror|Romance|Thriller,Wolf
383,Wyatt Earp (1994),Western,Wyatt Earp
384,Bad Company (1995),Action|Crime|Drama,Bad Company
385,"Man of No Importance, A (1994)",Drama,Man of No Importance A
386,S.F.W. (1994),Drama,SFW
387,"Low Down Dirty Shame, A (1994)",Action|Comedy,Low Down Dirty Shame A
388,Boys Life (1995),Drama,Boys Life
389,"Colonel Chabert, Le (1994)",Drama|Romance|War,Colonel Chabert Le
390,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama,Faster Pussycat Kill Kill
391,Jason's Lyric (1994),Crime|Drama,Jasons Lyric
392,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Animation,Secret Adventures of Tom Thumb The
393,Street Fighter (1994),Action|Adventure|Fantasy,Street Fighter
394,Coldblooded (1995),Comedy,Coldblooded
395,Desert Winds (1995),Drama|Fantasy|Romance,Desert Winds
396,Fall Time (1995),Drama,Fall Time
397,"Fear, The (1995)",Horror,Fear The
398,Frank and Ollie (1995),Documentary,Frank and Ollie
399,Girl in the Cadillac (1995),Drama,Girl in the Cadillac
400,Homage (1995),Drama,Homage
401,Mirage (1995),Action|Thriller,Mirage
402,Open Season (1996),Comedy,Open Season
403,Two Crimes (Dos crímenes) (1995),Comedy|Crime|Drama,Two Crimes
404,Brother Minister: The Assassination of Malcolm X (1994),Documentary,Brother Minister The Assassination of Malcolm X
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy,Highlander III The Sorcerer
406,Federal Hill (1994),Drama,Federal Hill
407,In the Mouth of Madness (1995),Horror|Thriller,In the Mouth of Madness
408,8 Seconds (1994),Drama,8 Seconds
409,Above the Rim (1994),Crime|Drama,Above the Rim
410,Addams Family Values (1993),Children|Comedy|Fantasy,Addams Family Values
411,Martin Lawrence: You So Crazy (1994),Comedy|Documentary,Martin Lawrence You So Crazy
412,"Age of Innocence, The (1993)",Drama,Age of Innocence The
413,Airheads (1994),Comedy,Airheads
414,"Air Up There, The (1994)",Comedy,Air Up There The
415,Another Stakeout (1993),Comedy|Thriller,Another Stakeout
416,Bad Girls (1994),Western,Bad Girls
417,Barcelona (1994),Comedy|Romance,Barcelona
418,Being Human (1993),Drama,Being Human
419,"Beverly Hillbillies, The (1993)",Comedy,Beverly Hillbillies The
420,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller,Beverly Hills Cop III
421,Black Beauty (1994),Adventure|Children|Drama,Black Beauty
422,Blink (1994),Thriller,Blink
423,Blown Away (1994),Action|Thriller,Blown Away
424,Blue Chips (1994),Drama,Blue Chips
425,Blue Sky (1994),Drama|Romance,Blue Sky
426,Body Snatchers (1993),Horror|Sci-Fi|Thriller,Body Snatchers
427,Boxing Helena (1993),Drama|Mystery|Romance|Thriller,Boxing Helena
428,"Bronx Tale, A (1993)",Drama,Bronx Tale A
429,Cabin Boy (1994),Comedy,Cabin Boy
430,Calendar Girl (1993),Comedy|Drama,Calendar Girl
431,Carlito's Way (1993),Crime|Drama,Carlitos Way
